銷售分類,銷售商品名稱,販售規格,禮盒／組合判定,建議組成類型,銷售商品SKU_正式,組成項次,對應內包裝成品SKU,對應內包裝成品名稱,每1單位銷售商品需用內包裝數量,內包裝扣帳單位,是否需要外包裝組裝,外包裝材料SKU,外包裝材料名稱,外包裝材料數量,外包裝扣帳單位,備註,對應內包裝成品SKU_建議,對應內包裝成品名稱_建議,內包裝單位1_建議,內包裝單位2_建議
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,10,B5,堅果塔-咖哩,1,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,11,P1,土鳳梨酥(紅點),3,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,12,P2,鳳凰酥,3,個,是,,,,,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,13,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,14,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,15,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,16,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,臻愛時光禮盒,禮盒,禮盒,gift_box,L10007,17,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,1,A1,豆塔-蔓越莓,5,個,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,2,S1010,牛奶糖-100g,1,包,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,3,S2010,南棗核桃糕-100g,1,包,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,4,C1001,瓦片-原味-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,5,C2001,瓦片-紅茶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,6,Q1001,奶油-焦糖牛奶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,7,Q2001,奶油-法國巧克力-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,8,G1001,西點-巧克力貝殼-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,9,G2001,西點-咖啡小花-單片,2,片,是,,,,,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,10,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,11,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,12,,,,,是,PK0012,隔板-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,13,,,,,是,PK0013,提袋-鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,濃情滿載禮盒,禮盒,禮盒,gift_box,L10008,14,,,,,是,PK0019,封套鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,1,A1,豆塔-蔓越莓,5,個,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,2,M1,瑪德蓮-蜂蜜,3,個,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,3,M2,瑪德蓮-巧克力,1,個,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,4,M3,瑪德蓮-紅茶,1,個,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,5,C1001,瓦片-原味-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,6,C2001,瓦片-紅茶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,7,Q1001,奶油-焦糖牛奶-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,8,Q2001,奶油-法國巧克力-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,9,G1001,西點-巧克力貝殼-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,10,G2001,西點-咖啡小花-單片,2,片,是,,,,,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,11,,,,,是,PK0004,鐵盒-禮盒,1,個,,,,,
鐵盒禮盒,浪漫詩篇禮盒,禮盒,禮盒,gift_box,L10009,12,,,,,是,PK0008,大底板-鐵盒-禮盒,1,個,,,,,
