原料代碼,原料名稱,原料類型,採購單位,庫存單位,生產單位,是否批次追蹤,是否效期追蹤,狀態,生效日,失效日,停用原因,來源建立方式,來源分類,來源列號,原始品項名稱,備註
RM0054,檸檬酸,食品添加劑,包,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【食品添加劑】,63,檸檬酸450g/包,
RM0055,85%水麥芽,常溫加工食材,箱,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,65,"85%水麥芽5kg/罐,20kg/箱",
RM0056,小奇富餅乾,常溫加工食材,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,66,小奇富餅乾3kg/包,
RM0057,三花奶水,常溫加工食材,箱,罐,罐,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,67,三花奶水48罐/箱,
RM0058,花椒油,常溫加工食材,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,68,花椒油1.8kg/罐,
RM0059,酥油,常溫加工食材,桶,桶,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,69,酥油18公斤/桶,
RM0060,鈕扣可可脂,常溫加工食材,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,70,鈕扣可可脂3公斤/罐,
RM0061,香草精,常溫加工食材,罐,罐,ml,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【常溫類】,71,香草精113ml/瓶,正式採購與庫存單位收斂為罐；1 罐 = 113 ml
RM0062,冷凍蛋白液,冷凍食材類,罐,罐,ml,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷凍類】,75,冷凍-蛋白液960ml/罐,來源表未填完整/散單位，先按來源文字 /罐 推定
RM0063,鹹蛋黃,冷凍食材類,包,顆,顆,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷凍類】,77,鹹蛋黃20顆/包,
RM0064,德麥冷凍檸檬皮丁,冷凍食材類,盒,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷凍類】,78,德麥冷凍檸檬皮丁500g/盒,每盒 500 g
RM0065,黑糖醬,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,82,黑糖醬1000g/罐,
RM0066,柑橘油,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,83,柑橘油500g/罐,
RM0067,柑橘醬,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,84,柑橘醬1000g/罐,
RM0068,檸檬香精,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,85,檸檬香精500g/罐,
RM0069,檸檬醬,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,86,檸檬醬1000g/罐,
RM0070,檸檬油,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,87,檸檬油1000g/罐,
RM0071,焦糖醬,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,88,焦糖醬1000g/罐,
RM0072,焦糖香精,香精醬料類,罐,罐,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【日本香精醬料類】,89,焦糖香精1000g/罐,
RM0073,生塔皮（外購）,外購半成品,箱,顆,顆,否,否,啟用,2026-04-01,,,配方明細回填,,,生塔皮外購規格,1箱=360顆；配方RCP-SF0001投入
RM0074,千層起酥皮（外購）,外購半成品,箱,片,片,否,否,啟用,2026-04-01,,,配方明細回填,,,千層起酥皮外購規格,1箱=36片；配方RCP-SF0003投入
RM0075,土鳳梨酥（外購）,外購半成品,箱,顆,顆,否,否,啟用,2026-04-01,,,配方明細回填,,,土鳳梨酥新包裝規格,1箱=280顆；新包裝自2026-04-15生效；配方RCP-SF0004投入
RM0076,鳳凰酥（外購）,外購半成品,箱,顆,顆,否,否,啟用,2026-04-01,,,配方明細回填,,,鳳凰酥新包裝規格,1箱=280顆；新包裝自2026-04-15生效；配方RCP-SF0005投入
